variable,description
v2mecenefm_osp_codelow,"Lower bound of the original scale prediction (HPD Interval 70%) - Government censorship effort - Media: Sejauh mana upaya pemerintah untuk menyensor, memblokir, atau membatasi media."
v2mecenefm_osp_codehigh,"Upper bound of the original scale prediction (HPD Interval 70%) - Government censorship effort - Media: Sejauh mana upaya pemerintah untuk menyensor, memblokir, atau membatasi media."
v2mecenefm_ord,"Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Government censorship effort - Media: Sejauh mana upaya pemerintah untuk menyensor, memblokir, atau membatasi media."
v2mecenefm_ord_codelow,"Lower bound of the ordinal scale value - Government censorship effort - Media: Sejauh mana upaya pemerintah untuk menyensor, memblokir, atau membatasi media."
v2mecenefm_ord_codehigh,"Upper bound of the ordinal scale value - Government censorship effort - Media: Sejauh mana upaya pemerintah untuk menyensor, memblokir, atau membatasi media."
v2mecenefm_mean,"Arithmetic mean of raw expert coder ratings - Government censorship effort - Media: Sejauh mana upaya pemerintah untuk menyensor, memblokir, atau membatasi media. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model]."
v2mecenefm_nr,"Number of expert coders who rated this country-year - Government censorship effort - Media: Sejauh mana upaya pemerintah untuk menyensor, memblokir, atau membatasi media. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model]."
v2meharjrn,"Expert point estimate (Measurement Model point estimate on standardized scale) - Harassment of journalists: Tingkat intimidasi, penangkapan, pelecehan, dan kekerasan terhadap jurnalis. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model]."
v2meharjrn_codelow,"Lower bound of the point estimate (HPD Interval 68%) - Harassment of journalists: Tingkat intimidasi, penangkapan, pelecehan, dan kekerasan terhadap jurnalis."
v2meharjrn_codehigh,"Upper bound of the point estimate (HPD Interval 68%) - Harassment of journalists: Tingkat intimidasi, penangkapan, pelecehan, dan kekerasan terhadap jurnalis."
v2meharjrn_sd,"Standard deviation of the measurement model output - Harassment of journalists: Tingkat intimidasi, penangkapan, pelecehan, dan kekerasan terhadap jurnalis."
v2meharjrn_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Harassment of journalists: Tingkat intimidasi, penangkapan, pelecehan, dan kekerasan terhadap jurnalis."
v2meharjrn_osp_codelow,"Lower bound of the original scale prediction (HPD Interval 70%) - Harassment of journalists: Tingkat intimidasi, penangkapan, pelecehan, dan kekerasan terhadap jurnalis."
v2meharjrn_osp_codehigh,"Upper bound of the original scale prediction (HPD Interval 70%) - Harassment of journalists: Tingkat intimidasi, penangkapan, pelecehan, dan kekerasan terhadap jurnalis."
v2meharjrn_ord,"Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Harassment of journalists: Tingkat intimidasi, penangkapan, pelecehan, dan kekerasan terhadap jurnalis."
v2meharjrn_ord_codelow,"Lower bound of the ordinal scale value - Harassment of journalists: Tingkat intimidasi, penangkapan, pelecehan, dan kekerasan terhadap jurnalis."
v2meharjrn_ord_codehigh,"Upper bound of the ordinal scale value - Harassment of journalists: Tingkat intimidasi, penangkapan, pelecehan, dan kekerasan terhadap jurnalis."
v2meharjrn_mean,"Arithmetic mean of raw expert coder ratings - Harassment of journalists: Tingkat intimidasi, penangkapan, pelecehan, dan kekerasan terhadap jurnalis. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model]."
v2meharjrn_nr,"Number of expert coders who rated this country-year - Harassment of journalists: Tingkat intimidasi, penangkapan, pelecehan, dan kekerasan terhadap jurnalis. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model]."
v2mebias,Expert point estimate (Measurement Model point estimate on standardized scale) - Media bias: Bias media atau keberpihakan media massa utama terhadap kubu tertentu (terutama pemerintah). [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2mebias_codelow,Lower bound of the point estimate (HPD Interval 68%) - Media bias: Bias media atau keberpihakan media massa utama terhadap kubu tertentu (terutama pemerintah).
v2mebias_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Media bias: Bias media atau keberpihakan media massa utama terhadap kubu tertentu (terutama pemerintah).
v2mebias_sd,Standard deviation of the measurement model output - Media bias: Bias media atau keberpihakan media massa utama terhadap kubu tertentu (terutama pemerintah).
v2mebias_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Media bias: Bias media atau keberpihakan media massa utama terhadap kubu tertentu (terutama pemerintah)."
v2mebias_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Media bias: Bias media atau keberpihakan media massa utama terhadap kubu tertentu (terutama pemerintah).
v2mebias_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Media bias: Bias media atau keberpihakan media massa utama terhadap kubu tertentu (terutama pemerintah).
v2mebias_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Media bias: Bias media atau keberpihakan media massa utama terhadap kubu tertentu (terutama pemerintah).
v2mebias_ord_codelow,Lower bound of the ordinal scale value - Media bias: Bias media atau keberpihakan media massa utama terhadap kubu tertentu (terutama pemerintah).
v2mebias_ord_codehigh,Upper bound of the ordinal scale value - Media bias: Bias media atau keberpihakan media massa utama terhadap kubu tertentu (terutama pemerintah).
v2mebias_mean,Arithmetic mean of raw expert coder ratings - Media bias: Bias media atau keberpihakan media massa utama terhadap kubu tertentu (terutama pemerintah). [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2mebias_nr,Number of expert coders who rated this country-year - Media bias: Bias media atau keberpihakan media massa utama terhadap kubu tertentu (terutama pemerintah). [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2meslfcen,Expert point estimate (Measurement Model point estimate on standardized scale) - Media self-censorship: Sensor mandiri yang dilakukan jurnalis dan media karena takut akan konsekuensi negatif. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2meslfcen_codelow,Lower bound of the point estimate (HPD Interval 68%) - Media self-censorship: Sensor mandiri yang dilakukan jurnalis dan media karena takut akan konsekuensi negatif.
v2meslfcen_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Media self-censorship: Sensor mandiri yang dilakukan jurnalis dan media karena takut akan konsekuensi negatif.
v2meslfcen_sd,Standard deviation of the measurement model output - Media self-censorship: Sensor mandiri yang dilakukan jurnalis dan media karena takut akan konsekuensi negatif.
v2meslfcen_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Media self-censorship: Sensor mandiri yang dilakukan jurnalis dan media karena takut akan konsekuensi negatif."
v2meslfcen_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Media self-censorship: Sensor mandiri yang dilakukan jurnalis dan media karena takut akan konsekuensi negatif.
v2meslfcen_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Media self-censorship: Sensor mandiri yang dilakukan jurnalis dan media karena takut akan konsekuensi negatif.
v2meslfcen_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Media self-censorship: Sensor mandiri yang dilakukan jurnalis dan media karena takut akan konsekuensi negatif.
v2meslfcen_ord_codelow,Lower bound of the ordinal scale value - Media self-censorship: Sensor mandiri yang dilakukan jurnalis dan media karena takut akan konsekuensi negatif.
v2meslfcen_ord_codehigh,Upper bound of the ordinal scale value - Media self-censorship: Sensor mandiri yang dilakukan jurnalis dan media karena takut akan konsekuensi negatif.
v2meslfcen_mean,Arithmetic mean of raw expert coder ratings - Media self-censorship: Sensor mandiri yang dilakukan jurnalis dan media karena takut akan konsekuensi negatif. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2meslfcen_nr,Number of expert coders who rated this country-year - Media self-censorship: Sensor mandiri yang dilakukan jurnalis dan media karena takut akan konsekuensi negatif. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2mecrit,Expert point estimate (Measurement Model point estimate on standardized scale) - Print/broadcast media critical: Seberapa kritis media cetak dan penyiaran terhadap kinerja pemerintah. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2mecrit_codelow,Lower bound of the point estimate (HPD Interval 68%) - Print/broadcast media critical: Seberapa kritis media cetak dan penyiaran terhadap kinerja pemerintah.
v2mecrit_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Print/broadcast media critical: Seberapa kritis media cetak dan penyiaran terhadap kinerja pemerintah.
v2mecrit_sd,Standard deviation of the measurement model output - Print/broadcast media critical: Seberapa kritis media cetak dan penyiaran terhadap kinerja pemerintah.
v2mecrit_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Print/broadcast media critical: Seberapa kritis media cetak dan penyiaran terhadap kinerja pemerintah."
v2mecrit_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Print/broadcast media critical: Seberapa kritis media cetak dan penyiaran terhadap kinerja pemerintah.
v2mecrit_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Print/broadcast media critical: Seberapa kritis media cetak dan penyiaran terhadap kinerja pemerintah.
v2mecrit_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Print/broadcast media critical: Seberapa kritis media cetak dan penyiaran terhadap kinerja pemerintah.
v2mecrit_ord_codelow,Lower bound of the ordinal scale value - Print/broadcast media critical: Seberapa kritis media cetak dan penyiaran terhadap kinerja pemerintah.
v2mecrit_ord_codehigh,Upper bound of the ordinal scale value - Print/broadcast media critical: Seberapa kritis media cetak dan penyiaran terhadap kinerja pemerintah.
v2mecrit_mean,Arithmetic mean of raw expert coder ratings - Print/broadcast media critical: Seberapa kritis media cetak dan penyiaran terhadap kinerja pemerintah. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2mecrit_nr,Number of expert coders who rated this country-year - Print/broadcast media critical: Seberapa kritis media cetak dan penyiaran terhadap kinerja pemerintah. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2merange,Expert point estimate (Measurement Model point estimate on standardized scale) - Print/broadcast media perspectives: Keragaman perspektif politik dan sosial yang disajikan oleh media massa utama. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2merange_codelow,Lower bound of the point estimate (HPD Interval 68%) - Print/broadcast media perspectives: Keragaman perspektif politik dan sosial yang disajikan oleh media massa utama.
v2merange_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Print/broadcast media perspectives: Keragaman perspektif politik dan sosial yang disajikan oleh media massa utama.
v2merange_sd,Standard deviation of the measurement model output - Print/broadcast media perspectives: Keragaman perspektif politik dan sosial yang disajikan oleh media massa utama.
